"team","location","run_percent","hr_percent","avg_dist","year"
"HOU","away",0.466552315608919,0.458904109589041,362.4,"2012"
"HOU","home",0.533447684391081,0.541095890410959,362.4,"2012"
"HOU","away",0.511475409836066,0.452702702702703,362.4,"2013"
"HOU","home",0.488524590163934,0.547297297297297,362.4,"2013"
"HOU","away",0.494435612082671,0.447852760736196,362.4,"2014"
"HOU","home",0.505564387917329,0.552147239263804,362.4,"2014"
"HOU","away",0.496570644718793,0.443478260869565,362.4,"2015"
"HOU","home",0.503429355281207,0.556521739130435,362.4,"2015"
"HOU","away",0.538674033149171,0.505050505050505,362.4,"2016"
"HOU","home",0.461325966850829,0.494949494949495,362.4,"2016"
"HOU","away",0.559151785714286,0.516806722689076,357,"2017"
"HOU","home",0.440848214285714,0.483193277310924,357,"2017"
"HOU","away",0.531994981179423,0.551219512195122,357,"2018"
"HOU","home",0.468005018820577,0.448780487804878,357,"2018"
"HOU","away",0.468478260869565,0.479166666666667,357,"2019"
"HOU","home",0.531521739130435,0.520833333333333,357,"2019"
"HOU","away",0.526881720430108,0.579710144927536,357,"2020"
"HOU","home",0.473118279569892,0.420289855072464,357,"2020"
"FLA","away",0.492350486787204,0.546052631578947,375,"2010"
"FLA","home",0.507649513212796,0.453947368421053,375,"2010"
"FLA","away",0.5216,0.516778523489933,375,"2011"
"FLA","home",0.4784,0.483221476510067,375,"2011"
"MIA","away",0.499178981937603,0.598540145985402,375,"2012"
"MIA","home",0.500821018062397,0.401459854014599,375,"2012"
"MIA","away",0.461988304093567,0.621052631578947,375,"2013"
"MIA","home",0.538011695906433,0.378947368421053,375,"2013"
"MIA","away",0.458914728682171,0.516393442622951,375,"2014"
"MIA","home",0.541085271317829,0.483606557377049,375,"2014"
"MIA","away",0.500815660685155,0.558333333333333,375,"2015"
"MIA","home",0.499184339314845,0.441666666666667,375,"2015"
"MIA","away",0.538931297709924,0.546875,372.8,"2016"
"MIA","home",0.461068702290076,0.453125,372.8,"2016"
"MIA","away",0.537275064267352,0.510309278350515,372.8,"2017"
"MIA","home",0.462724935732648,0.489690721649485,372.8,"2017"
"MIA","away",0.526315789473684,0.5859375,372.8,"2018"
"MIA","home",0.473684210526316,0.4140625,372.8,"2018"
"MIA","away",0.469918699186992,0.534246575342466,372.8,"2019"
"MIA","home",0.530081300813008,0.465753424657534,372.8,"2019"
"MIA","away",0.627376425855513,0.633333333333333,370.4,"2020"
"MIA","home",0.372623574144487,0.366666666666667,370.4,"2020"
"SDP","away",0.546310832025118,0.571428571428571,371.6,"2008"
"SDP","home",0.453689167974882,0.428571428571429,371.6,"2008"
"SDP","away",0.564263322884012,0.567375886524823,371.6,"2009"
"SDP","home",0.435736677115987,0.432624113475177,371.6,"2009"
"SDP","away",0.515789473684211,0.553030303030303,371.6,"2010"
"SDP","home",0.484210526315789,0.446969696969697,371.6,"2010"
"SDP","away",0.569983136593592,0.494505494505495,371.6,"2011"
"SDP","home",0.430016863406408,0.505494505494505,371.6,"2011"
"SDP","away",0.525345622119816,0.611570247933884,371.6,"2012"
"SDP","home",0.474654377880184,0.388429752066116,371.6,"2012"
"SDP","away",0.529126213592233,0.547945205479452,367,"2013"
"SDP","home",0.470873786407767,0.452054794520548,367,"2013"
"SDP","away",0.500934579439252,0.504587155963303,367,"2014"
"SDP","home",0.499065420560748,0.495412844036697,367,"2014"
"SDP","away",0.506153846153846,0.5,367,"2015"
"SDP","home",0.493846153846154,0.5,367,"2015"
"SDP","away",0.489795918367347,0.531073446327684,367,"2016"
"SDP","home",0.510204081632653,0.468926553672316,367,"2016"
"SDP","away",0.5,0.529100529100529,367,"2017"
"SDP","home",0.5,0.470899470899471,367,"2017"
"SEA","away",0.497764530551416,0.524193548387097,367.4,"2008"
"SEA","home",0.502235469448584,0.475806451612903,367.4,"2008"
"SEA","away",0.5109375,0.525,367.4,"2009"
"SEA","home",0.4890625,0.475,367.4,"2009"
"SEA","away",0.53411306042885,0.653465346534653,367.4,"2010"
"SEA","home",0.46588693957115,0.346534653465347,367.4,"2010"
"SEA","away",0.523381294964029,0.477064220183486,367.4,"2011"
"SEA","home",0.476618705035971,0.522935779816514,367.4,"2011"
"SEA","away",0.584814216478191,0.624161073825503,367.4,"2012"
"SEA","home",0.415185783521809,0.375838926174497,367.4,"2012"
"SEA","away",0.503205128205128,0.531914893617021,363.4,"2013"
"SEA","home",0.496794871794872,0.468085106382979,363.4,"2013"
"SEA","away",0.556782334384858,0.463235294117647,363.4,"2014"
"SEA","home",0.443217665615142,0.536764705882353,363.4,"2014"
"SEA","away",0.527439024390244,0.545454545454545,363.4,"2015"
"SEA","home",0.472560975609756,0.454545454545455,363.4,"2015"
"SEA","away",0.518229166666667,0.479820627802691,363.4,"2016"
"SEA","home",0.481770833333333,0.520179372197309,363.4,"2016"
"SEA","away",0.506666666666667,0.515,363.4,"2017"
"SEA","home",0.493333333333333,0.485,363.4,"2017"
"ATL","away",0.498571428571429,0.530201342281879,367,"2012"
"ATL","home",0.501428571428571,0.469798657718121,367,"2012"
"ATL","away",0.47093023255814,0.502762430939227,367,"2013"
"ATL","home",0.529069767441861,0.497237569060773,367,"2013"
"ATL","away",0.511343804537522,0.495934959349593,367,"2014"
"ATL","home",0.488656195462478,0.504065040650406,367,"2014"
"ATL","away",0.50087260034904,0.52,367,"2015"
"ATL","home",0.49912739965096,0.48,367,"2015"
"ATL","away",0.48382126348228,0.573770491803279,367,"2016"
"ATL","home",0.51617873651772,0.426229508196721,367,"2016"
"ATL","away",0.527322404371585,0.533333333333333,364,"2017"
"ATL","home",0.472677595628415,0.466666666666667,364,"2017"
"ATL","away",0.484848484848485,0.554285714285714,364,"2018"
"ATL","home",0.515151515151515,0.445714285714286,364,"2018"
"ATL","away",0.493567251461988,0.473895582329317,364,"2019"
"ATL","home",0.506432748538012,0.526104417670683,364,"2019"
"ATL","away",0.456896551724138,0.495145631067961,364,"2020"
"ATL","home",0.543103448275862,0.504854368932039,364,"2020"
"MIN","away",0.494186046511628,0.5,366,"2005"
"MIN","home",0.505813953488372,0.5,366,"2005"
"MIN","away",0.474406991260924,0.517482517482518,366,"2006"
"MIN","home",0.525593008739076,0.482517482517482,366,"2006"
"MIN","away",0.544568245125348,0.593220338983051,366,"2007"
"MIN","home",0.455431754874652,0.406779661016949,366,"2007"
"MIN","away",0.480096501809409,0.495495495495495,366,"2008"
"MIN","home",0.519903498190591,0.504504504504504,366,"2008"
"MIN","away",0.471236230110159,0.441860465116279,366,"2009"
"MIN","home",0.528763769889841,0.558139534883721,366,"2009"
"MIN","away",0.489116517285531,0.633802816901408,363,"2010"
"MIN","home",0.510883482714469,0.366197183098592,363,"2010"
"MIN","away",0.531502423263328,0.553398058252427,363,"2011"
"MIN","home",0.468497576736672,0.446601941747573,363,"2011"
"MIN","away",0.477888730385164,0.473282442748092,363,"2012"
"MIN","home",0.522111269614836,0.526717557251908,363,"2012"
"MIN","away",0.506514657980456,0.549668874172185,363,"2013"
"MIN","home",0.493485342019544,0.450331125827815,363,"2013"
"MIN","away",0.485314685314685,0.4765625,363,"2014"
"MIN","home",0.514685314685315,0.5234375,363,"2014"
